city,latitude,longitude
Delhi,28.61,77.23
Mumbai,19.0761,72.8775
Kolkata,22.5675,88.37
Bangalore,12.9789,77.5917
Chennai,13.0825,80.275
Hyderabad,17.3617,78.4747
Pune,18.5203,73.8567
Ahmedabad,23.0225,72.5714
Surat,21.1702,72.8311
Lucknow,26.85,80.95
Jaipur,26.9,75.8
Kanpur,26.4499,80.3319
Mirzapur,25.146,82.569
Nagpur,21.1497,79.0806
Ghaziabad,28.67,77.42
Supaul,26.126,86.605
Vadodara,22.3,73.2
Rajkot,22.3,70.7833
Vishakhapatnam,17.7042,83.2978
Indore,22.7167,75.8472
Thane,19.1972,72.9722
Bhopal,23.2599,77.4126
Pimpri-Chinchwad,18.6186,73.8037
Patna,25.594,85.1376
Bilaspur,22.09,82.15
Ludhiana,30.91,75.85
Agra,27.18,78.02
Madurai,9.9252,78.1198
Jamshedpur,22.7925,86.1842
Prayagraj,25.4358,81.8464
Nashik,19.9975,73.7898
Faridabad,28.4211,77.3078
Meerut,28.98,77.71
Jabalpur,23.1667,79.9333
Kalyan,19.2502,73.1602
Vasai-Virar,19.3607,72.7956
Najafgarh,28.6092,76.9798
Varanasi,25.3189,83.0128
Srinagar,34.09,74.79
Aurangabad,19.88,75.32
Dhanbad,23.7998,86.4305
Amritsar,31.64,74.86
Aligarh,27.88,78.08
Guwahati,26.1722,91.7458
Howrah,22.58,88.3294
Ranchi,23.36,85.33
Gwalior,26.2124,78.1772
Chandigarh,30.75,76.78
Haldwani,29.22,79.52
Vijayawada,16.5193,80.6305
Jodhpur,26.28,73.02
Raipur,21.2444,81.6306
Kota,25.18,75.83
Bhayandar,19.29,72.85
Loni,28.75,77.28
Ambattur,13.1143,80.1548
Salt Lake City,22.61,88.4
Bhatarpara,22.87,88.41
Kukatpally,17.4849,78.4138
Dasarahalli,13.0465,77.513
Muzaffarpur,26.1225,85.3906
Oulgaret,11.957,79.7737
New Delhi,28.6139,77.2089
Tiruvottiyur,13.16,80.3
Puducherry,11.9167,79.8167
Byatarayanpur,13.0659,77.5922
Pallavaram,12.9675,80.1491
Secunderabad,17.4399,78.4983
Shimla,31.1033,77.1722
Puri,19.8,85.8167
Murtazabad,28.7111,77.2688
Shrirampur,22.75,88.34
Chandannagar,22.87,88.38
Sultanpur Mazra,28.6981,77.0689
Krishnanagar,23.4,88.5
Barakpur,22.76,88.37
Bhalswa Jahangirpur,28.7354,77.1638
Nangloi Jat,28.6833,77.0667
Balasore,21.5033,86.925
Dalupura,28.6004,77.3194
Yelahanka,13.1007,77.5963
Titagarh,22.74,88.37
Dum Dum,22.62,88.42
Bansberia,22.97,88.4
Madhavaram,13.1482,80.2314
Abbigeri,13.0767,77.525
Baj Baj,22.4828,88.1818
Garhi,28.6317,77.3186
Meerpet,17.32,78.52
Nerkunram,13.0619,80.2094
Kendrapara,20.5,86.42
Sijua,23.7762,86.3303
Manali,13.1667,80.2667
Kankuria,24.6523,87.9604
Chakapara,22.63,88.35
Pappakurichchi,10.8137,78.7481
Herohalli,12.9911,77.4873
Madipakkam,12.9623,80.1986
Sabalpur,25.6053,85.1835
Bauria,22.4521,88.1853
Salua,22.61,88.27
Chik Banavar,13.0846,77.5014
Jalahalli,13.0333,77.55
Chinnasekkadu,13.1609,80.2573
Jethuli,25.5378,85.2841
Nagtala,22.4667,88.3833
Pakri,25.5876,85.158
Hunasamaranhalli,13.1435,77.62
Hesarghatta,13.1391,77.4783
Bommayapalaiyam,11.9922,79.8499
Gundur,10.7339,78.7184
Punadih,25.5484,85.2649
Hariladih,23.7333,86.4
Alawalpur,25.4958,85.2021
Madanikanhalli,13.0626,77.4642
Bagalur,13.133,77.666
Kadiganahalli,13.1687,77.6283
Khankpur Zabti,28.7103,77.2781
Mahuli,25.543,85.2268
Zeyadah Kot,22.4445,88.3345
Arshakunti,13.0785,77.4225
Mirchi,25.5554,85.2139
Sonudih,25.1155,87.0214
Bayandhalli,12.9779,77.5688
Sondekoppa,13,77.3667
Babura,25.0851,87.1092
Madavar,13.0525,77.4732
Kadabgeri,12.9965,77.4331
Nanmangalam,12.9381,80.1753
Taliganja,22.5041,88.3598
Tarchha,25.1116,87.0964
Belgharia,22.6581,88.3852
Kammanhalli,13.0155,77.6381
Ambapuram,16.599,80.8938
Sonnappanhalli,13.1557,77.6179
Kedihati,22.6508,88.4608
Doddajivanahalli,13.0086,77.6143
Simli Muraripur,25.5792,85.2401
Sonawan,25.5445,85.2387
Devanandapur,22.9326,88.3729
Tribeni,22.9867,88.3987
Huttanhalli,13.1651,77.6512
Nathupur,25.5163,85.2544
Bali,25.481,85.2227
Vajarhalli,13.1022,77.4111
Alija Kotla,17.2333,78.55
Saino,25.1134,87.0108
Shekhpura,25.5725,85.1428
Chachohalli,13.001,77.4717
Andheri,19.2104,73.0464
Narayanpur Kola,25.1293,87.0076
Gyan Chak,25.5496,85.2423
Kasgatpur,13.1101,77.5045
Kitanelli,13.0095,77.4191
Harchandi,25.1,87.0442
Santoshpur,22.465,88.2193
Bendravadi,12.3636,76.9137
Kodagihalli,12.9771,77.4651
Harna Buzurg,25.0981,87.0148
Mailanhalli,13.1863,77.6963
Sultanpur,25.5248,85.2507
Adakimaranhalli,13.0633,77.4417
Kalamboli,19.02577,73.10157
Swargate,18.5018,73.8636
Hinjewadi,18.5667,73.7833
Aundh,18.566,73.8167
Koregaon Park,18.5333,73.8833
Camp,18.5167,73.8667
Shivajinagar,18.5167,73.866
Kharadi ,18.5667,73.9167
Viman Nagar,18.5667,73.916
Wakad,18.6167,73.7833
Bandra,19.0667,72.8333
Colaba,18.9167,72.8167
Dadar,19.0167,72.8333
Goregaon,19.1667,72.8667
Juhu,19.1,72.8167
Kurla,19.0833,72.8833
Malad,19.1833,72.8667
Nariman Point,18.9167,72.8167
Lonavala ,18.7333,73.4167
Khandala,18.7667,73.3833
Alibaug,18.6333,72.8667
Mahabaleshwar,17.9167,73.7667
Panchgani,17.9333,73.7833
